,loss
0,7.099136
1,3.4486341
2,3.7900312
3,3.7491806
4,4.835495
5,5.588843
6,3.839264
7,6.653863
8,2.8511305
9,3.274835
10,3.4240093
11,2.8472502
12,2.2860913
13,2.4402075
14,1.8861251
15,2.037342
16,1.9428114
17,1.7189276
18,1.9126798
19,1.7518086
20,2.2702546
21,2.0345104
22,1.8043919
23,1.7641166
24,1.6982403
25,1.7762606
26,1.5655849
27,1.6160158
28,1.5784851
29,1.508505
30,2.3983305
31,2.141979
32,1.7749286
33,1.354811
34,1.4257262
35,1.5742432
36,1.6689237
37,1.6301227
38,1.3827388
39,1.3649063
40,1.2769053
41,1.3837509
42,1.3505996
43,1.3470954
44,1.3341278
45,1.3433572
46,1.4340386
47,1.2426567
48,1.2113979
49,1.2129858
50,1.3142818
51,1.234715
52,1.2981746
53,1.260165
54,1.2044327
55,1.6320173
56,1.4813888
57,1.3064218
58,1.1214505
59,1.0681554
60,1.2146915
61,1.2778437
62,1.2673059
63,1.1850724
64,1.1607518
65,1.0309436
66,1.1495275
67,1.0464743
68,1.1766255
69,1.1194894
70,1.1486933
71,1.1768475
72,1.0457214
73,0.99270225
74,1.0226836
75,1.1599092
76,1.0972873
77,1.0952628
78,1.0519886
79,1.0496606
80,1.059395
81,0.9859297
82,0.9173162
83,0.85484403
84,0.8324787
85,0.99806446
86,1.1003288
87,1.0241431
88,0.9659753
89,1.0138876
90,0.86568767
91,0.99085337
92,0.874227
93,0.97649884
94,1.041215
95,0.9013611
96,0.97312385
97,0.8498794
98,0.8723727
99,0.8924955
100,0.94567615
101,0.8862388
102,0.98232114
103,0.9192608
104,0.90254486
105,0.9438505
106,0.96744645
107,0.85333514
108,0.70742357
109,0.6903879
110,0.8742047
111,0.9770918
112,0.87077385
113,0.8690104
114,0.88016796
115,0.71485823
116,0.7973609
117,0.72162044
118,0.79818237
119,0.8121562
120,0.7983376
121,0.83478034
122,0.70856315
123,0.68535566
124,0.72444606
125,0.85055685
126,0.8261114
127,0.86208415
128,0.77840394
129,0.78083456
130,0.73046
131,0.8300092
132,0.7096287
133,0.6085645
134,0.6166382
135,0.7774845
136,0.8635304
137,0.78531814
138,0.7430157
139,0.83174133
140,0.6067889
141,0.7104158
142,0.5700679
143,0.6768909
144,0.70481545
145,0.67406094
146,0.7278503
147,0.71135557
148,0.6214782
149,0.6793479
150,0.6992954
151,0.67551786
152,0.72942084
153,0.69840074
154,0.6567596
155,0.6657886
156,0.76123667
157,0.7087327
158,0.5934994
159,0.58717406
160,0.6411351
161,0.7394382
162,0.73543614
163,0.6701787
164,0.72715795
165,0.509875
166,0.71118206
167,0.5519006
168,0.6495116
169,0.62991744
170,0.5846485
171,0.664199
172,0.64228886
173,0.5970658
174,0.6276819
175,0.62274164
176,0.6054651
177,0.6821704
178,0.6088137
179,0.614343
180,0.62623435
181,0.70698315
182,0.62182695
183,0.55246145
184,0.5214474
185,0.576972
186,0.6353472
187,0.5600721
188,0.5321109
189,0.63966596
190,0.49785367
191,0.6001739
192,0.44555905
193,0.5313771
194,0.5499277
195,0.4903399
196,0.58515006
197,0.5158019
198,0.50444865
199,0.5144777
200,0.50080264
201,0.49585465
202,0.57930547
203,0.508684
204,0.5161974
205,0.48693755
206,0.536826
207,0.51034087
208,0.43243572
209,0.44639653
210,0.44959098
211,0.55388385
212,0.48716295
213,0.46143633
214,0.57606643
215,0.39181802
216,0.5212164
217,0.3804108
218,0.45853743
219,0.45579228
220,0.3909537
221,0.43883163
222,0.4691397
223,0.4511721
224,0.48123127
225,0.4327037
226,0.41128147
227,0.49788252
228,0.45728245
229,0.43953246
230,0.4042057
231,0.4503511
232,0.41854197
233,0.36467034
234,0.3939555
235,0.42478186
236,0.44713962
237,0.38297576
238,0.40146175
239,0.48665717
240,0.35942802
241,0.47566557
242,0.3852718
243,0.38296816
244,0.40706524
245,0.35658428
246,0.3959492
247,0.380104
248,0.36105853
249,0.39610946
250,0.36002746
251,0.3725333
252,0.45548117
253,0.3857296
254,0.3830778
255,0.3324586
256,0.42558372
257,0.36013636
258,0.32381383
259,0.34919026
260,0.3700704
261,0.41460383
262,0.36336455
263,0.3803431
264,0.40710104
265,0.30870682
266,0.4696435
267,0.4215542
268,0.40223575
269,0.37611258
270,0.3034092
271,0.3383073
272,0.3767972
273,0.34428254
274,0.38564426
275,0.32408977
276,0.37261102
277,0.42890385
278,0.36184582
279,0.3703204
280,0.28299543
281,0.36904946
282,0.30947596
283,0.28162077
284,0.3020074
285,0.32137582
286,0.36366385
287,0.327204
288,0.3214302
289,0.38822573
290,0.2621088
291,0.36685178
292,0.28443184
293,0.3253209
294,0.36356825
295,0.25651848
296,0.31712294
297,0.33054376
298,0.29892322
299,0.32497144
300,0.27357453
301,0.2916683
302,0.38694
303,0.31535977
304,0.29301372
305,0.28205848
306,0.34234768
307,0.27557313
308,0.25571638
309,0.26237935
310,0.28823
311,0.34509793
312,0.28979903
313,0.296188
314,0.33038685
315,0.25426036
316,0.3321723
317,0.24712835
318,0.28484064
319,0.29193392
320,0.22456726
321,0.26854676
322,0.30142334
323,0.27196488
324,0.29133752
325,0.23950388
326,0.27999902
327,0.3289301
328,0.283093
329,0.25936022
330,0.2591301
331,0.339951
332,0.24056205
333,0.21984316
334,0.2369221
335,0.22960532
336,0.27119565
337,0.25226834
338,0.2374439
339,0.29380485
340,0.21262899
341,0.28817946
342,0.21703935
343,0.2270231
344,0.2610167
345,0.20572746
346,0.22549875
347,0.24705118
348,0.24493104
349,0.2395109
350,0.18774237
351,0.20846865
352,0.29740337
353,0.2944179
354,0.2470683
355,0.22198634
356,0.2578147
357,0.23137954
358,0.20650052
359,0.230045
360,0.22209764
361,0.24687871
362,0.21652803
363,0.2055537
364,0.24353954
365,0.20959212
366,0.2557352
367,0.1943891
368,0.2236846
369,0.2264998
370,0.2049477
371,0.20383272
372,0.21070728
373,0.21099615
374,0.21695396
375,0.17067331
376,0.19929507
377,0.2570903
378,0.22557497
379,0.20641094
380,0.16703825
381,0.2269118
382,0.18066414
383,0.18733467
384,0.20175868
385,0.17956503
386,0.19174838
387,0.17252961
388,0.16366637
389,0.2076233
390,0.15567227
391,0.20422535
392,0.17375544
393,0.18012638
394,0.1965431
395,0.16261558
396,0.18532628
397,0.188065
398,0.198924
399,0.16742365
400,0.173531
401,0.17060672
402,0.23690227
403,0.18231723
404,0.1790796
405,0.1512698
406,0.20240901
407,0.16685075
408,0.16079451
409,0.17081915
410,0.16901235
411,0.1905573
412,0.17514105
413,0.14131226
414,0.20031443
415,0.15961304
416,0.19024053
417,0.16335669
418,0.16077605
419,0.16702987
420,0.13735539
421,0.1550976
422,0.16975643
423,0.14627416
424,0.16699696
425,0.12887311
426,0.14240935
427,0.20131256
428,0.16215098
429,0.1494794
430,0.13984303
431,0.18748355
432,0.16913444
433,0.13902044
434,0.16193081
435,0.14670816
436,0.15812577
437,0.11890268
438,0.12420086
439,0.15806931
440,0.14803126
441,0.2039541
442,0.13886592
443,0.13193092
444,0.16637322
445,0.15739329
446,0.17289113
447,0.16060273
448,0.15441906
449,0.1545406
450,0.13305916
451,0.12707548
452,0.19307327
453,0.16039556
454,0.15588062
455,0.13462892
456,0.15170343
457,0.13760298
458,0.1337236
459,0.14373295
460,0.18196236
461,0.21260808
462,0.13937604
463,0.1386533
464,0.16477461
465,0.13011375
466,0.16856879
467,0.15123518
468,0.13670388
469,0.19599308
470,0.15267795
471,0.1781519
472,0.16444507
473,0.16510442
474,0.1524601
475,0.12920915
476,0.13237903
477,0.16606672
478,0.14964095
479,0.11473599
480,0.11702843
481,0.1405298
482,0.14292257
483,0.111729756
484,0.13107544
485,0.16580205
486,0.18722476
487,0.16730641
488,0.12073755
489,0.16642672
490,0.14805028
491,0.20354368
492,0.16427366
493,0.13303582
494,0.14537728
495,0.11130852
496,0.13349037
497,0.13603634
498,0.15128624
499,0.16150609
500,0.1170526
501,0.12844157
502,0.15351811
503,0.13404396
504,0.11494573
505,0.12268979
506,0.12144344
507,0.10790974
508,0.099365525
509,0.11582942
510,0.13199374
511,0.14194945
512,0.10653321
513,0.10598448
514,0.13763647
515,0.112250194
516,0.12423135
517,0.09687513
518,0.1016013
519,0.12114754
520,0.096527055
521,0.11067124
522,0.10149205
523,0.1363896
524,0.124516755
525,0.07794554
526,0.097303085
527,0.119754404
528,0.11851567
529,0.11730821
530,0.082592905
531,0.12526195
532,0.09238219
533,0.08224479
534,0.09849056
535,0.12219356
536,0.14404196
537,0.1141227
538,0.08827829
539,0.12495445
540,0.10415655
541,0.13046193
542,0.08425156
543,0.10376391
544,0.10508916
545,0.09872766
546,0.109479636
547,0.09288318
548,0.103459254
549,0.09917692
550,0.075990394
551,0.09002417
552,0.14035445
553,0.11373976
554,0.10831207
555,0.08168933
556,0.119326286
557,0.11104655
558,0.09276207
559,0.10143364
560,0.10146112
561,0.12815338
562,0.07746581
563,0.07177295
564,0.10225469
565,0.09162133
566,0.10260135
567,0.06503859
568,0.07634387
569,0.098843016
570,0.07780493
571,0.09887736
572,0.100092754
573,0.093519
574,0.09727119
