,loss
0,6.8030353
1,4.4090023
2,3.379686
3,4.050069
4,5.69825
5,3.1940255
6,2.317472
7,2.5446079
8,1.9930022
9,1.8968091
10,1.7559202
11,1.6142843
12,1.6873744
13,1.2814887
14,1.3791053
15,1.3295982
16,1.4127775
17,1.2966981
18,1.120728
19,1.2314596
20,1.0019908
21,1.0558908
22,1.04791
23,0.8789183
24,0.9305346
25,0.85634285
26,0.89672816
27,0.7977713
28,0.6768371
29,0.6973115
30,0.5674816
31,0.5928008
32,0.59338593
33,0.5886027
34,0.5711582
35,0.43543354
36,0.44582874
37,0.41470724
38,0.42616707
39,0.39425212
40,0.3081028
41,0.31340522
42,0.3240875
43,0.31987932
44,0.31069383
45,0.25830367
46,0.23887171
47,0.23586603
48,0.25461966
49,0.21957825
50,0.17948975
51,0.18626595
52,0.1675104
53,0.17160548
54,0.17337838
55,0.14550138
56,0.12954882
57,0.12844887
58,0.13603199
59,0.11005731
60,0.12969318
61,0.105437
62,0.09636455
63,0.09859888
64,0.09492264
65,0.100843325
66,0.07600878
67,0.07404402
68,0.07670696
69,0.072128125
