,loss
0,8.11041
1,5.3990254
2,4.922994
3,7.121583
4,6.787992
5,4.6990395
6,4.007492
7,3.7468212
8,3.0769434
9,2.5197456
10,3.3488803
11,2.8048804
12,2.3239558
13,2.2447927
14,2.1870365
15,1.9858227
16,2.0096755
17,1.9815297
18,1.7354897
19,1.7424603
20,2.3437405
21,2.5016947
22,1.9793527
23,1.8939654
24,1.8976116
25,1.6633489
26,1.613793
27,1.6285421
28,1.512938
29,1.3488353
30,1.7472186
31,1.8732302
32,1.607821
33,1.5547538
34,1.5301363
35,1.3877071
36,1.4301225
37,1.3489579
38,1.2645621
39,1.1664994
40,1.6666243
41,1.7914035
42,1.4406681
43,1.3924891
44,1.4472293
45,1.2586211
46,1.259845
47,1.2083145
48,1.0941663
49,0.97333103
50,1.3345039
51,1.5548476
52,1.3719931
53,1.261325
54,1.1931653
55,1.0855027
56,1.079349
57,1.0031669
58,0.9801899
59,0.86682516
60,1.1403041
61,1.4270272
62,1.1853337
63,1.1159523
64,1.0672885
65,0.91676617
66,0.94718903
67,0.8527424
68,0.8297149
69,0.7231661
70,0.9235185
71,1.1592319
72,1.0203059
73,0.94722456
74,0.9174376
75,0.744212
76,0.7665318
77,0.7353152
78,0.70791286
79,0.5580479
80,0.80427164
81,1.0828509
82,0.9272347
83,0.87884295
84,0.8193145
85,0.6520034
86,0.67431813
87,0.54247284
88,0.5540406
89,0.50327647
90,0.782278
91,1.0048131
92,0.85658085
93,0.83110243
94,0.73946464
95,0.5103361
96,0.5339238
97,0.47332302
98,0.47871485
99,0.42018282
100,0.6351925
101,0.8138003
102,0.71930707
103,0.6750382
104,0.63120985
105,0.4545759
106,0.4685791
107,0.4178707
108,0.3973558
109,0.33996212
110,0.56139994
111,0.75973123
112,0.65611404
113,0.5876051
114,0.5394289
115,0.33350688
116,0.37260875
117,0.33040115
118,0.345156
119,0.26149067
120,0.5481789
121,0.720864
122,0.56494284
123,0.48380947
124,0.42243508
125,0.32325414
126,0.37580964
127,0.31365448
128,0.31573388
129,0.24646698
130,0.45142224
131,0.63728535
132,0.47685796
133,0.3971043
134,0.3774142
135,0.25592667
136,0.2592579
137,0.21495761
138,0.22910938
139,0.20272963
140,0.3867603
141,0.56061286
142,0.41208184
143,0.33612943
144,0.33333176
145,0.18496527
146,0.2013447
147,0.19825198
148,0.20255141
149,0.16245624
150,0.30033472
151,0.3726017
152,0.3322188
153,0.28834918
154,0.23947039
155,0.15434706
156,0.13783924
157,0.13836572
158,0.13343014
159,0.14078523
160,0.22226253
161,0.32091394
162,0.26927137
163,0.21653485
164,0.20934644
165,0.124500655
166,0.12222865
167,0.12381562
168,0.11650303
169,0.11835377
170,0.19480878
171,0.2904644
172,0.21271153
173,0.182861
174,0.17188194
175,0.10920885
176,0.113974616
177,0.11641593
178,0.108592056
179,0.10236869
180,0.17828491
181,0.25627884
182,0.20241421
183,0.16355231
184,0.14758882
185,0.108846545
186,0.12010887
187,0.0895084
188,0.11305887
189,0.08818611
190,0.13246411
191,0.17281331
192,0.16571386
193,0.15356706
194,0.12928365
195,0.09118574
196,0.07799536
197,0.081507176
198,0.08472088
199,0.06649171
200,0.11409023
201,0.16291843
202,0.15126154
203,0.13571383
204,0.10798122
205,0.078749225
206,0.072847776
207,0.07356683
208,0.06652199
209,0.05849994
210,0.10846051
211,0.12795384
212,0.11759169
213,0.096581146
214,0.09076259
215,0.06862366
216,0.06597549
217,0.06321305
218,0.063815735
219,0.05434356
