,loss
0,6.6310015
1,4.47666
2,3.7706997
3,2.9302056
4,3.8858752
5,3.0365148
6,2.3347106
7,2.0766504
8,1.713115
9,1.6346062
10,2.5537336
11,2.3363454
12,2.0600116
13,1.7353874
14,1.7359432
15,1.8199058
16,1.8961657
17,1.580925
18,1.8078505
19,1.6248223
20,1.6392852
21,1.5921011
22,1.3676468
23,1.3936576
24,1.4220264
25,1.8740968
26,1.7101158
27,1.5465097
28,1.5101866
29,1.3544737
30,1.8272471
31,1.7715913
32,1.9188188
33,1.5600677
34,1.3876083
35,1.2477255
36,1.1907417
37,1.1157049
38,1.0303432
39,1.0178946
40,1.3147837
41,1.3232678
42,1.3280675
43,1.1640992
44,1.112617
45,1.1667922
46,1.2392715
47,1.1790313
48,1.3137208
49,1.2280931
50,1.3130636
51,1.2568767
52,1.1284771
53,1.2224526
54,1.2131699
55,1.2018344
56,1.0567192
57,1.2906122
58,0.9682137
59,1.1617821
60,1.1815577
61,1.2242925
62,1.2865756
63,1.0964131
64,1.096702
65,1.0233531
66,1.0170178
67,0.9686868
68,0.87831974
69,0.8945133
70,1.0550312
71,0.9706125
72,0.9586543
73,0.8496278
74,0.8942332
75,0.99606526
76,1.068039
77,0.96929574
78,1.0050272
79,1.015168
80,0.93801296
81,0.97355837
82,0.9272132
83,0.8706438
84,0.90450674
85,0.9602446
86,0.85223037
87,0.9547581
88,0.81838936
89,1.009159
90,1.0749316
91,1.1042094
92,1.0224493
93,0.9369778
94,0.9709594
95,0.72975355
96,0.782485
97,0.78818357
98,0.71219414
99,0.7575774
100,0.85168827
101,0.77076954
102,0.75281245
103,0.6810902
104,0.6990097
105,0.7747016
106,0.81295955
107,0.72920054
108,0.85609984
109,0.81782395
110,0.7610875
111,0.8473813
112,0.7077124
113,0.67273927
114,0.74932665
115,0.7427332
116,0.7388155
117,0.781502
118,0.6862588
119,0.78704023
120,0.8412478
121,0.9700211
122,0.9506643
123,0.7830703
124,0.8317882
125,0.66425234
126,0.7139167
127,0.66129667
128,0.6227971
129,0.66252327
130,0.7389347
131,0.6670679
132,0.6941846
133,0.60913426
134,0.63236994
135,0.6208091
136,0.6808681
137,0.60662603
138,0.667426
139,0.6586774
140,0.6448534
141,0.69921744
142,0.57921714
143,0.63084954
144,0.6083386
145,0.65272194
146,0.5885151
147,0.6911398
148,0.5799919
149,0.6973213
150,0.8409315
151,0.9495882
152,0.7820585
153,0.7028133
154,0.73365754
155,0.55725837
156,0.61555505
157,0.5706506
158,0.5862569
159,0.58565015
160,0.57442385
161,0.51800996
162,0.5772743
163,0.49810913
164,0.50339556
165,0.5496491
166,0.5960564
167,0.53736246
168,0.578902
169,0.5503858
170,0.5318294
171,0.61887336
172,0.48852396
173,0.50690746
174,0.5436602
175,0.5353685
176,0.48974353
177,0.544229
178,0.47317123
179,0.5704085
180,0.6532109
181,0.76100194
182,0.8864273
183,0.6876723
184,0.65897906
185,0.4789955
186,0.49979386
187,0.53686583
188,0.5022426
189,0.5274081
190,0.5184124
191,0.46571496
192,0.49707174
193,0.42318234
194,0.44085822
195,0.47407073
196,0.49379528
197,0.46296626
198,0.47644952
199,0.4632807
200,0.46533215
201,0.52748966
202,0.45012864
203,0.4369236
204,0.46053472
205,0.43465182
206,0.41374692
207,0.4550458
208,0.42300245
209,0.5317
210,0.6034269
211,0.6196816
212,0.5883625
213,0.51621854
214,0.5713425
215,0.42332777
216,0.44719952
217,0.41635972
218,0.42131835
219,0.45604464
220,0.40376788
221,0.33447245
222,0.39401048
223,0.36478478
224,0.349894
225,0.39259577
226,0.4285383
227,0.3964875
228,0.40423858
229,0.41821408
230,0.3987706
231,0.47018576
232,0.37590098
233,0.3523623
234,0.40647703
235,0.39050958
236,0.359387
237,0.42581078
238,0.36543468
239,0.4133584
240,0.5443947
241,0.5946505
242,0.52823293
243,0.48244008
244,0.5265262
245,0.36100054
246,0.4210676
247,0.42055815
248,0.39743942
249,0.41654792
250,0.40094343
251,0.26276827
252,0.3214309
253,0.32143334
254,0.30883974
255,0.35634077
256,0.38623005
257,0.36772877
258,0.42153555
259,0.39684585
260,0.39098668
261,0.4886731
262,0.34831387
263,0.35602546
264,0.35892677
265,0.36035243
266,0.37572175
267,0.39480725
268,0.3718182
269,0.4161222
270,0.4943487
271,0.5119932
272,0.46126038
273,0.41988063
274,0.4601947
275,0.336873
276,0.36818308
277,0.33041006
278,0.33611387
279,0.3832053
280,0.31736013
281,0.26161045
282,0.29931968
283,0.28816506
284,0.31007513
285,0.323547
286,0.34004986
287,0.30211794
288,0.3104658
289,0.30312228
290,0.3222677
291,0.4201345
292,0.3395707
293,0.2914279
294,0.3026526
295,0.28826663
296,0.30951548
297,0.3340873
298,0.30089644
299,0.35868222
300,0.37621266
301,0.41010392
302,0.3966108
303,0.34436423
304,0.37824437
305,0.2709123
306,0.32683304
307,0.28764758
308,0.27959216
309,0.3218691
310,0.25277498
311,0.21978292
312,0.2851387
313,0.2638086
314,0.24028707
315,0.25059408
316,0.2603513
317,0.27633345
318,0.26999822
319,0.25127298
320,0.28318223
321,0.3786223
322,0.26940948
323,0.25200173
324,0.26213896
325,0.26588225
326,0.2866384
327,0.29664397
328,0.2671151
329,0.30261904
330,0.32368153
331,0.3614465
332,0.33335558
333,0.32457384
334,0.3295786
335,0.25220466
336,0.26496032
337,0.26254293
338,0.26570374
339,0.2920413
340,0.21093442
341,0.17376962
342,0.21402861
343,0.21074374
344,0.20129456
345,0.19934173
346,0.24423116
347,0.25488216
348,0.24707843
349,0.21695024
350,0.2616715
351,0.3170666
352,0.27094576
353,0.23806566
354,0.25227144
355,0.20088017
356,0.18861379
357,0.22404864
358,0.2208834
359,0.27167574
360,0.29049712
361,0.31421652
362,0.2989276
363,0.2601194
364,0.2731715
365,0.20824698
366,0.26267242
367,0.25445536
368,0.2433979
369,0.24592099
370,0.19179164
371,0.15279141
372,0.19792339
373,0.19086018
374,0.18580285
375,0.21287993
376,0.2307994
377,0.23222911
378,0.2005748
379,0.1899509
380,0.19594732
381,0.26267344
382,0.21539347
383,0.1889337
384,0.20488739
385,0.18021575
386,0.17485377
387,0.22472551
388,0.19634622
389,0.20887397
390,0.25721425
391,0.2731373
392,0.2625954
393,0.23880802
394,0.26805618
395,0.19366503
396,0.23320103
397,0.2066891
398,0.25107253
399,0.24182504
400,0.17863777
401,0.16468313
402,0.19800991
403,0.17647533
404,0.17053513
405,0.18136872
406,0.17546973
407,0.17478634
408,0.17338833
409,0.15373993
410,0.20307693
411,0.24387577
412,0.22130719
413,0.14672746
414,0.1968899
415,0.1895008
416,0.2182507
417,0.22503226
418,0.18084453
419,0.18536791
420,0.24497452
421,0.23884748
422,0.23371407
423,0.2619127
424,0.23726493
425,0.18294625
426,0.23217648
427,0.2196613
428,0.20387374
429,0.22573592
430,0.17855449
431,0.16014677
432,0.15863295
433,0.16209303
434,0.1434749
435,0.15232573
436,0.16554464
437,0.1483577
438,0.1708793
439,0.16680638
440,0.18447363
441,0.2249908
442,0.15655622
443,0.14051305
444,0.15860905
445,0.14474757
