,loss
0,6.0911183
1,3.976842
2,4.5981603
3,2.7174904
4,2.2757604
5,3.1520815
6,2.713598
7,2.1985393
8,1.8772018
9,1.8295097
10,1.8613434
11,2.1768801
12,1.7393022
13,1.7667859
14,1.4111409
15,1.8141996
16,1.6907631
17,1.841523
18,1.6140679
19,1.3863533
20,1.4807568
21,1.6592934
22,1.3297551
23,1.2614707
24,1.1138421
25,1.3338012
26,1.1539934
27,1.2599788
28,1.1634624
29,1.1770042
30,0.9800107
31,1.254478
32,1.1306589
33,1.0069838
34,0.8612867
35,1.080603
36,1.0588989
37,1.1804998
38,1.1624357
39,1.0027902
40,0.94234645
41,1.1531924
42,0.9955708
43,1.0302297
44,0.89628124
45,0.8910935
46,0.88865674
47,0.9488954
48,0.7856144
49,0.86323404
50,0.8174391
51,0.94380164
52,0.9116213
53,0.7505547
54,0.71188897
55,0.9543625
56,0.8952878
57,1.1282218
58,1.0185685
59,0.8460487
60,0.80632305
61,1.0066286
62,0.81297076
63,0.8626368
64,0.69968337
65,0.7091704
66,0.70203507
67,0.7271678
68,0.6537756
69,0.672285
70,0.6977683
71,0.8167283
72,0.6525361
73,0.6159732
74,0.5192364
75,0.682639
76,0.7420833
77,0.77333945
78,0.75109494
79,0.6454885
80,0.67833704
81,0.8987886
82,0.7202079
83,0.7691555
84,0.6384092
85,0.59466225
86,0.56849027
87,0.5804001
88,0.47571966
89,0.5473798
90,0.5258304
91,0.6811152
92,0.579324
93,0.44393563
94,0.43950123
95,0.46874756
96,0.5027914
97,0.6019838
98,0.5900131
99,0.501673
100,0.57083046
101,0.7465346
102,0.62778056
103,0.646356
104,0.53579915
105,0.41388115
106,0.44524094
107,0.4989384
108,0.43737823
109,0.43800992
110,0.42320192
111,0.46716827
112,0.40776476
113,0.38059047
114,0.3106122
115,0.43604228
116,0.5110654
117,0.5534823
118,0.5299426
119,0.41282916
120,0.42872894
121,0.549027
122,0.43679702
123,0.52032125
124,0.44073147
125,0.35684064
126,0.35821706
127,0.4031993
128,0.33254713
129,0.34598154
130,0.3375352
131,0.38755482
132,0.3281177
133,0.27606735
134,0.2579928
135,0.3214426
136,0.39387184
137,0.4424736
138,0.453962
139,0.3240764
140,0.37168056
141,0.46567768
142,0.41964197
143,0.44806808
144,0.37485278
145,0.3040374
146,0.28863657
147,0.338489
148,0.2830188
149,0.30464107
150,0.29026273
151,0.32169527
152,0.31751695
153,0.23768649
154,0.19930102
155,0.27265587
156,0.3358178
157,0.41373065
158,0.39698678
159,0.27137426
160,0.31663918
161,0.41244224
162,0.3268064
163,0.402531
164,0.33912796
165,0.24132973
166,0.25092152
167,0.2661393
168,0.22633928
169,0.25529864
170,0.23339935
171,0.24955267
172,0.24931577
173,0.15518817
174,0.15577671
175,0.20316288
176,0.2573368
177,0.3448655
178,0.3016375
179,0.19237879
180,0.24749638
181,0.31094134
182,0.28871915
183,0.31146187
184,0.25206435
185,0.20235473
186,0.16512883
187,0.2509213
188,0.20057952
189,0.20613083
190,0.21907309
191,0.20089312
192,0.22598767
193,0.1360298
194,0.13061574
195,0.16972607
196,0.19736645
197,0.262265
198,0.24259788
199,0.17476584
200,0.24037372
201,0.3123128
202,0.24834245
203,0.254035
204,0.20723183
205,0.13798101
206,0.16733313
207,0.1867157
208,0.16392592
209,0.18620855
210,0.18731776
211,0.19983095
212,0.19848382
213,0.12208607
214,0.10050885
215,0.119406894
216,0.1592051
217,0.18401136
218,0.17187656
219,0.14490953
220,0.19986382
221,0.27154544
222,0.21746929
223,0.24002735
224,0.17154078
225,0.13920072
226,0.12550001
227,0.1906012
228,0.14034307
229,0.16092956
230,0.1936976
231,0.18688947
232,0.16712055
233,0.10541636
234,0.08662678
235,0.09463677
236,0.14641312
237,0.16718501
238,0.15215857
239,0.12791558
240,0.19359943
241,0.22409041
242,0.1790055
243,0.1933551
244,0.15693623
245,0.12864238
246,0.12952782
247,0.16829202
248,0.13033262
249,0.11985298
250,0.15952079
251,0.13111156
252,0.15288462
253,0.096141845
254,0.08221548
255,0.10014378
256,0.10693669
257,0.15017608
258,0.12243544
259,0.08717693
260,0.1368139
261,0.19130298
262,0.16142318
263,0.15713124
264,0.12515733
265,0.098354876
266,0.09919061
267,0.10678251
268,0.118997306
269,0.11941099
270,0.11085207
271,0.110188015
272,0.118284725
273,0.07546564
274,0.07086208
275,0.08937541
276,0.108627595
277,0.11381577
278,0.08953121
279,0.07365257
280,0.14165935
281,0.16594912
282,0.13647947
283,0.13784768
284,0.124902666
285,0.099249065
286,0.111277804
287,0.13609171
288,0.09741518
289,0.101836085
290,0.12027195
291,0.07933884
292,0.09524721
293,0.06406273
294,0.052436065
295,0.067651905
296,0.074181974
297,0.09825911
298,0.08334997
299,0.06705825
300,0.11206184
301,0.14319864
302,0.10837923
303,0.112239696
304,0.09983639
305,0.07315457
306,0.079770386
307,0.10125905
308,0.0704952
309,0.0805758
310,0.09820583
311,0.08546609
312,0.09030727
313,0.055517644
314,0.050904583
315,0.054088436
316,0.06817624
317,0.09051738
318,0.07030402
319,0.058140755
